ID,deal_title,deal_stage,year,month,day,deal_amount,currency,investor,is_lead,target,target_hq_city,target_hq_country,target_hq_state,target_url,target_year_founded,privco_pics_ids,mapped_profile_id,mapped_profile_type,mapped_profile_name,mapped_url,mapping_match_strength,mapping_review,text_url
1760,equity funding,Series A & B Startups,2017,6,16,400000000,USD,Matrix Partners China,0,Guazi.com,Beijing,China,Beijing,www.guazi.com,,"[900123, 1500, 1599999, 1399999, 1001906, 400301, 400]",1070962,company,Guazi,guazi.com,yes,,http://www.finsmes.com/2017/06/guazi-com-raises-us400m-in-series-b-financing.html
1760,equity funding,Series A & B Startups,2017,6,16,400000000,USD,Sequoia Capital China,0,Guazi.com,Beijing,China,Beijing,www.guazi.com,,"[900123, 1500, 1599999, 1399999, 1001906, 400301, 400]",1070962,company,Guazi,guazi.com,yes,,http://www.finsmes.com/2017/06/guazi-com-raises-us400m-in-series-b-financing.html
1761,equity funding,Series A & B Startups,2017,6,16,32000000,USD,Pontifax,0,"Tisbury Pharmaceuticals, Inc.",Boston,United States,Massachusetts,www.tisburypharmaceuticals.com,,"[7008, 1500107, 700701]",1118819,,,,,,http://www.finsmes.com/2017/06/tisbury-pharmaceuticals-raises-32m-in-series-a-financing.html
1761,equity funding,Series A & B Startups,2017,6,16,32000000,USD,Healthcap,1,"Tisbury Pharmaceuticals, Inc.",Boston,United States,Massachusetts,www.tisburypharmaceuticals.com,,"[7008, 1500107, 700701]",1118819,,,,,,http://www.finsmes.com/2017/06/tisbury-pharmaceuticals-raises-32m-in-series-a-financing.html
1761,equity funding,Series A & B Startups,2017,6,16,32000000,USD,Clarus,1,"Tisbury Pharmaceuticals, Inc.",Boston,United States,Massachusetts,www.tisburypharmaceuticals.com,,"[7008, 1500107, 700701]",1118819,,,,,,http://www.finsmes.com/2017/06/tisbury-pharmaceuticals-raises-32m-in-series-a-financing.html
1761,equity funding,Series A & B Startups,2017,6,16,32000000,USD,Orbimed Advisors,1,"Tisbury Pharmaceuticals, Inc.",Boston,United States,Massachusetts,www.tisburypharmaceuticals.com,,"[7008, 1500107, 700701]",1118819,,,,,,http://www.finsmes.com/2017/06/tisbury-pharmaceuticals-raises-32m-in-series-a-financing.html
1762,equity funding,Non-Startup Growth Companies,2017,6,16,600000000,USD,Hillhouse Capital Group,0,Mobike,Beijing,China,Beijing,mobike.com,,"[402201, 1600, 1399999, 1500, 600310]",1061867,company,"Beijing Mobike Technology Co.,Ltd.",mobike.com,yes,,https://www.pehub.com/2017/06/chinese-start-up-mobike-gains-600-million-in-biggest-financing-round-to-date-reuters/
,,Non-Startup Growth Companies,2017,6,16,600000000,USD,ICBC International ,0,Mobike,Beijing,China,Beijing,mobike.com,,"[402201, 1600, 1399999, 1500, 600310]",1061867,company,"Beijing Mobike Technology Co.,Ltd.",mobike.com,yes,,https://www.pehub.com/2017/06/chinese-start-up-mobike-gains-600-million-in-biggest-financing-round-to-date-reuters/
1762,equity funding,Non-Startup Growth Companies,2017,6,16,600000000,USD,TPG,0,Mobike,Beijing,China,Beijing,mobike.com,,"[402201, 1600, 1399999, 1500, 600310]",1061867,company,"Beijing Mobike Technology Co.,Ltd.",mobike.com,yes,,https://www.pehub.com/2017/06/chinese-start-up-mobike-gains-600-million-in-biggest-financing-round-to-date-reuters/
1762,equity funding,Non-Startup Growth Companies,2017,6,16,600000000,USD,Sequoia Venture Capital,0,Mobike,Beijing,China,Beijing,mobike.com,,"[402201, 1600, 1399999, 1500, 600310]",1061867,company,"Beijing Mobike Technology Co.,Ltd.",mobike.com,yes,,https://www.pehub.com/2017/06/chinese-start-up-mobike-gains-600-million-in-biggest-financing-round-to-date-reuters/
